"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cluster","gene_name"
"ENSG00000177051",315.241315928156,-0.365586972212988,0.233379855187553,11.0761512535922,0.0039340902163847,0.0303380713778304,1,"FBXO46"
"ENSG00000177054",2175.25082881886,-0.387963122538658,0.224546649233612,10.1393147161208,0.00628457313025474,0.0404704454109741,1,"ZDHHC13"
"ENSG00000177150",270.072789034269,-0.256199449065542,0.187307443111113,16.0035650093176,0.00033486519682545,0.00744046147527386,1,"FAM210A"
"ENSG00000177311",2608.20244747731,-0.593328742383148,0.191287996670555,25.8606938816224,2.42338086572772e-06,0.000650987979748636,1,"ZBTB38"
"ENSG00000177427",648.764753946658,-0.692886243632663,0.320814762355182,12.411806563604,0.00201748562741781,0.0206575461005487,1,"MIEF2"
"ENSG00000177494",39.5780026831475,-0.775966199859279,0.661319964601295,9.46181123447042,0.00881848125381706,0.0496613162006993,1,"ZBED2"
"ENSG00000177628",1177.65834720739,-0.548330687264866,0.270657774006431,23.3470270274777,8.51642834167792e-06,0.00100040241808384,1,"GBA"
"ENSG00000178172",253.21048828962,-0.329837821920369,0.949260419321527,21.8819019476333,1.77176192825024e-05,0.00143081017850422,1,"SPINK6"
"ENSG00000178372",1426.83326965471,-0.263962288518587,0.617035249348795,14.5319045398405,0.000698935377508687,0.0112658185620929,1,"CALML5"
"ENSG00000178573",764.171083323822,-0.576742979559887,0.316267327503763,30.5988202924788,2.26751723694692e-07,0.000171780627250422,1,"MAF"
"ENSG00000179134",1864.86487317157,-0.314167052883378,0.180239792507622,11.6632000104674,0.0029333798004363,0.0254316835123385,1,"SAMD4B"
"ENSG00000179148",96.1831885868273,-0.403061244214318,0.79758505915766,13.4627677900513,0.00119288099325906,0.0155809061754995,1,"ALOXE3"
"ENSG00000179295",2464.29850970677,-0.185342553573275,0.138098696120924,10.6049264109471,0.00497931371600279,0.0348253836568614,1,"PTPN11"
"ENSG00000179403",2524.38379015233,-0.524743962611217,0.221057059473699,18.2513768982986,0.000108833817508506,0.00394404829781964,1,"VWA1"
"ENSG00000179562",952.341979876244,-0.230223663997642,0.177078365564176,17.5488420324855,0.000154638408271062,0.00475849601002772,1,"GCC1"
"ENSG00000179833",1360.22792939287,-0.0162167978440221,0.218847362217181,11.7922241253027,0.00275011634025468,0.0245630995835463,1,"SERTAD2"
"ENSG00000180044",15.7910180192719,-0.937231125086973,1.0191076397446,11.1466810312895,0.00379777270009975,0.0296752288241095,1,"C3orf80"
"ENSG00000180667",2176.47255718698,-0.754978352985077,0.555810085913535,18.4744699168406,9.7346385240217e-05,0.00372279721823705,1,"YOD1"
"ENSG00000180861",967.221304139412,-0.263295254072216,0.271298198185196,13.7895765044333,0.00101305146322563,0.0140756643916651,1,"LINC01559"
"ENSG00000180901",941.039746885547,-0.117684944158596,0.148758739980068,11.9087447270123,0.00259447170881906,0.0236138176382984,1,"KCTD2"
"ENSG00000181218",422.169836781939,-0.19211049955357,0.31776101550027,12.5835528074768,0.00185146806906974,0.0197155324704354,1,"H2AW"
"ENSG00000181284",431.309018137493,-0.172515051827389,0.193286126762417,12.9947258077773,0.00150740913889083,0.0176333617578045,1,"TMEM102"
"ENSG00000181467",1189.77008461033,-0.221807660994414,0.204173178939225,14.4883805557122,0.000714312313171851,0.0114211000907045,1,"RAP2B"
"ENSG00000181652",622.733452046981,-0.664848373987463,0.561758487359995,9.67247745325818,0.00793685064487834,0.0466157300931641,1,"ATG9B"
"ENSG00000181744",898.28354278624,-0.0906262364789055,0.22936428898491,9.5161169926821,0.00858225571369741,0.048832579362443,1,"DIPK2A"
"ENSG00000182261",140.077419369205,-0.724184454035558,1.05132990989462,11.3712534891894,0.00339440515773183,0.0277500470988467,1,"NLRP10"
"ENSG00000182378",30.404600496406,-1.5375773120348,0.656111540709115,11.3539832938008,0.00342384309469407,0.027847224473412,1,"PLCXD1"
"ENSG00000182544",893.602902115544,-0.272880357348007,0.178352811006658,13.9523959833605,0.000933846956143691,0.0133635738439011,1,"MFSD5"
"ENSG00000182580",1340.05946674886,-0.5831841771231,0.372903536107094,23.6529319754641,7.30854762150088e-06,0.000934390101819591,1,"EPHB3"
